name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
voyager,adrielcafe,2884,156,Kotlin,2021-07-19T22:57:56Z,2025-06-21T17:11:44Z,21204,2884,189,User,94,"Bahia, Brazil",19,14,29,13,9
jclasslib,ingokegel,2880,418,Kotlin,2011-11-16T15:29:25Z,2025-06-21T12:35:09Z,13517,2880,11,User,47,"Munich, Germany",104,48,9,1,1
plain-app,ismartcoding,2870,137,Kotlin,2021-10-17T10:03:14Z,2025-06-22T09:12:57Z,113128,2870,48,User,10,,22,59,7,36,0
android-upload-service,gotev,2851,697,Kotlin,2013-09-24T14:41:51Z,2025-06-20T02:26:52Z,16248,2851,2,User,15,"Milan, Italy",100,5,27,8,0
revanced-patcher,ReVanced,2848,235,Kotlin,2022-03-16T19:50:53Z,2025-06-22T09:54:33Z,2210,2848,17,Organization,40,United States of America,52,50,22,20,5
react-native-sound,zmxv,2839,766,Kotlin,2015-10-19T06:22:23Z,2025-06-20T08:53:40Z,693,2839,350,User,24,,38,14,90,9,22
kotlin-logging,oshai,2834,124,Kotlin,2016-07-01T00:13:49Z,2025-06-21T13:33:35Z,991,2834,28,User,104,,18,59,44,48,6
Kotlin-Coroutines-and-Flow-UseCases-on-Android,LukasLechnerDev,2801,463,Kotlin,2020-03-18T11:53:27Z,2025-06-14T07:50:51Z,2349,2801,5,User,14,Vienna,87,3,5,1,2
android,home-assistant,2792,747,Kotlin,2019-04-02T05:52:50Z,2025-06-22T07:39:01Z,28602,2792,280,Organization,104,Your home,76,492,144,457,25
korge,korlibs,2786,133,Kotlin,2017-01-26T07:56:45Z,2025-06-22T09:47:19Z,89866,2786,247,Organization,150,,37,49,68,135,1
Han1meViewer,YenalyLiew,2786,265,Kotlin,2022-08-12T10:34:37Z,2025-06-22T09:41:16Z,1880,2786,54,User,20,Gesthos,30,71,3,15,7
ponymusic,wangchenyan,2760,494,Kotlin,2015-11-26T06:18:37Z,2025-06-21T19:01:42Z,10927,2760,11,User,38,China,50,12,1,1,0
BRV,liangjingkanji,2750,334,Kotlin,2019-09-05T02:48:05Z,2025-06-19T03:32:10Z,19875,2750,27,User,33,新竹市,33,13,21,5,0
MusicLake,caiyonglong,2749,537,Kotlin,2016-04-09T15:47:45Z,2025-06-22T03:26:27Z,62734,2749,7,User,51,,43,0,3,0,0
TouchImageView,MikeOrtiz,2748,868,Kotlin,2011-09-18T00:56:01Z,2025-06-16T05:55:18Z,17412,2748,21,User,6,"San Francisco, CA",96,71,26,43,8
Twidere-Android,TwidereProject,2743,375,Kotlin,2014-07-03T05:48:27Z,2025-06-22T09:24:58Z,127376,2743,334,Organization,24,,105,0,37,1,3
SwitchButton,zcweng,2743,419,Kotlin,2016-12-23T13:09:26Z,2025-06-20T07:02:22Z,1853,2743,40,User,24,china sichuan chengdu,42,0,6,1,0
orgzly-android,orgzly,2738,307,Kotlin,2017-02-03T14:48:34Z,2025-06-17T20:01:06Z,38762,2738,518,Organization,3,,76,0,36,7,21
Smartspacer,KieronQuinn,2738,75,Kotlin,2021-11-21T22:10:12Z,2025-06-22T08:31:11Z,7213,2738,2,User,36,"Salford, UK",32,25,9,46,1
