name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
ScrollMagic,janpaepke,14956,2158,JavaScript,2013-09-23T08:08:53Z,2025-06-21T06:59:25Z,5408,14956,516,User,37,"Vienna, Austria",320,0,31,2,17
bower,bower,14952,1828,JavaScript,2012-09-07T00:15:39Z,2025-06-20T12:28:20Z,4801,14952,13,Organization,6,,706,1,202,2,4
react-bits,DavidHDev,14936,560,JavaScript,2024-08-06T06:54:54Z,2025-06-21T08:36:01Z,25270,14936,1,User,18,Cluj-Napoca,63,646,30,234,0
metrics,lowlighter,14931,1901,JavaScript,2020-09-08T16:01:43Z,2025-06-21T03:04:07Z,186991,14931,44,User,36,🇫🇷 / 🇨🇦 (QC),105,0,58,41,11
amphtml,ampproject,14897,3948,JavaScript,2015-09-01T22:10:53Z,2025-06-21T07:40:49Z,967150,14897,1002,Organization,60,,626,138,393,79,83
whistle,avwo,14897,1126,JavaScript,2015-03-13T05:42:01Z,2025-06-21T05:15:06Z,91450,14897,59,User,23,"shenzhen, China",201,177,38,30,16
riot,riot,14854,969,JavaScript,2013-09-27T05:21:01Z,2025-06-21T03:45:52Z,25635,14854,6,Organization,42,,373,83,175,8,0
KeepChatGPT,xcanwin,14833,737,JavaScript,2023-03-28T18:12:33Z,2025-06-21T08:47:56Z,14578,14833,104,User,31,China,47,23,12,2,5
apexcharts.js,apexcharts,14803,1357,JavaScript,2018-07-24T15:22:23Z,2025-06-19T21:51:24Z,149778,14803,324,Organization,10,,124,444,206,195,2
screenity,alyssaxuu,14800,1185,JavaScript,2020-11-01T15:16:31Z,2025-06-21T04:49:20Z,44242,14800,37,User,16,"London, UK",157,2,1,17,1
recompose,acdlite,14792,1242,JavaScript,2015-10-07T05:54:51Z,2025-06-21T00:19:31Z,1325,14792,123,User,74,New York,170,0,97,0,59
