name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
tink,tink-crypto,13538,1175,Java,2014-06-06T16:21:09Z,2025-06-20T03:36:46Z,61010,13538,0,Organization,19,,330,0,106,0,0
PictureSelector,LuckSiege,13489,3057,Java,2017-01-04T07:47:39Z,2025-06-21T10:37:24Z,542078,13489,555,User,21,"Shanghai,China",197,0,11,13,31
Android-PickerView,Bigkoo,13470,3454,Java,2014-12-28T01:46:38Z,2025-06-17T09:28:01Z,6389,13470,437,Organization,3,深圳,311,0,16,3,19
Java,DuGuQiuBai,13462,5126,Java,2015-11-25T07:30:08Z,2025-06-21T00:41:46Z,24346,13462,74,Organization,6,中国,716,0,1,1,23
mit-deep-learning-book-pdf,janishar,13376,2805,Java,2017-04-07T10:46:50Z,2025-06-21T07:20:34Z,43571,13376,12,User,57,"New Delhi, India",412,0,7,0,0
languagetool,languagetool-org,13225,1443,Java,2013-08-08T16:37:22Z,2025-06-21T10:51:56Z,5920683,13225,2012,Organization,17,,165,2781,198,259,29
mall-learning,macrozheng,13209,8337,Java,2019-04-12T13:20:31Z,2025-06-20T09:34:04Z,39420,13209,5,User,20,"Wuxi,China",336,1,1,0,0
lombok,projectlombok,13190,2454,Java,2009-06-08T19:46:41Z,2025-06-21T01:00:50Z,80909,13190,949,Organization,3,Netherlands,384,165,138,93,33
banner,youth5201314,13009,2529,Java,2016-04-22T05:50:25Z,2025-06-17T09:30:57Z,11310,13009,41,User,18,成都,234,0,11,9,2
cryptomator,cryptomator,12984,1109,Java,2014-02-02T00:43:47Z,2025-06-21T10:49:30Z,25137,12984,258,Organization,48,Germany,167,460,61,1538,5
kkFileView,kekingcn,12904,3042,Java,2017-12-12T11:41:08Z,2025-06-21T11:46:47Z,751072,12904,330,Organization,13,上海市浦东新区杨高南路1998号4号楼3楼,66,16,43,10,22
dex2jar,pxb1988,12784,2163,Java,2015-03-16T09:13:07Z,2025-06-21T00:31:55Z,8725,12784,379,User,8,"Hangzhou, China",442,0,12,7,4
